movie_id,movie_title,director(s),top_5_cast
1087192,How to Train Your Dragon,Dean DeBlois,"Mason Thames (Hiccup)
Nico Parker (Astrid)
Gerard Butler (Stoick)
Nick Frost (Gobber)
Gabriel Howell (Snoutlout)"
1071585,M3GAN 2.0,Gerard Johnstone,"Jenna Davis (M3GAN (voice))
Allison Williams (Gemma)
Violet McGraw (Cady)
Ivanna Sakhno (AMELIA)
Amie Donald (M3GAN)"
552524,Lilo & Stitch,Dean Fleischer Camp,"Maia Kealoha (Lilo)
Sydney Agudong (Nani)
Chris Sanders (Stitch (voice))
Zach Galifianakis (Jumba)
Billy Magnussen (Pleakley)"
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Haruo Sotozaki,"Natsuki Hanae (Tanjiro Kamado (voice))
Akari Kito (Nezuko Kamado (voice))
Yoshitsugu Matsuoka (Inosuke Hashibira (voice))
Hiro Shimono (Zenitsu Agatsuma (voice))
Toshihiko Seki (Muzan Kibutsuji (voice))"
1315986,Man with No Past,James Bamford,"Jon Voight (Sanborn)
Adam Woodward (Ryder)
Marton Csokas (Soach)
Charlotte Vega (Morgan)
Philip Winchester (Jack)"
617126,The Fantastic Four: First Steps,Matt Shakman,"Pedro Pascal (Reed Richards / Mister Fantastic)
Vanessa Kirby (Sue Storm / Invisible Woman)
Ebon Moss-Bachrach (Ben Grimm / The Thing)
Joseph Quinn (Johnny Storm / Human Torch)
Ralph Ineson (Galactus)"
1124619,Bride Hard,Simon West,"Rebel Wilson (Sam)
Anna Camp (Betsy)
Anna Chlumsky (Virginia)
Da'Vine Joy Randolph (Lydia)
Gigi Zumbado (Zoe)"
1061474,Superman,James Gunn,"David Corenswet (Superman)
Rachel Brosnahan (Lois Lane)
Nicholas Hoult (Lex Luthor)
Edi Gathegi (Mr. Terrific)
Nathan Fillion (Guy Gardner)"
1011477,Karate Kid: Legends,Jonathan Entwistle,"Jackie Chan (Mr. Han)
Ben Wang (Li Fong)
Joshua Jackson (Victor Lipani)
Sadie Stanley (Mia Lipani)
Ming-Na Wen (Dr. Fong)"
1119878,Ice Road: Vengeance,Jonathan Hensleigh,"Liam Neeson (Mike McCann)
Fan Bingbing (Dhani Yangchen)
Marcus Thomas (Gurty)
Grace O'Sullivan (Starr Myers)
Saksham Sharma (Vijay Rai)"
