,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tmdb_id,poster_url
0,0,False,/7HqLLVjdjhXS0Qoz1SgZofhkIpE.jpg,"[14, 10751, 28]",1087192,en,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",976.0125,/41dfWUWtg1kUZcJYe6Zk6ewxzMu.jpg,2025-06-06,How to Train Your Dragon,False,8.103,1165,1087192,https://image.tmdb.org/t/p/w500/53dsJ3oEnBhTBVMigWJ9tkA5bzJ.jpg
1,1,False,/cEQMqB3ahd4mfeUN6VGC0ouVnZZ.jpg,"[28, 878, 53]",1071585,en,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",697.3743,/4a63rQqIDTrYNdcnTXdPsQyxVLo.jpg,2025-06-25,M3GAN 2.0,False,7.712,448,1071585,https://image.tmdb.org/t/p/w500/oekamLQrwlJjRNmfaBE4llIvkir.jpg
2,2,False,/7Zx3wDG5bBtcfk8lcnCWDOLM4Y4.jpg,"[10751, 878, 35, 12]",552524,en,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,560.7645,/c32TsWLES7kL1uy6fF03V67AIYX.jpg,2025-05-17,Lilo & Stitch,False,7.27,1000,552524,https://image.tmdb.org/t/p/w500/tUae3mefrDVTgm5mRzqWnZK6fOP.jpg
3,3,False,/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"[16, 28, 14, 53]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"As the Demon Slayer Corps members and Hashira engaged in a group strength training program, the Hashira Training, in preparation for the forthcoming battle against the demons, Muzan Kibutsuji appears at the Ubuyashiki Mansion. With the head of the Demon Corps in danger, Tanjiro and the Hashira rush to the headquarters but are plunged into a deep descent to a mysterious space by the hands of Muzan Kibutsuji.  The destination of where Tanjiro and Demon Slayer Corps have fallen is the demons' stronghold – the Infinity Castle. And so, the battleground is set as the final battle between the Demon Slayer Corps and the demons ignites.",474.4508,/aFRDH3P7TX61FVGpaLhKr6QiOC1.jpg,2025-07-18,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.3,16,1311031,https://image.tmdb.org/t/p/w500/aFRDH3P7TX61FVGpaLhKr6QiOC1.jpg
4,4,False,/8or4S9BPhkeYK0vlKsPFee4JVWI.jpg,"[28, 18]",1315986,en,Man with No Past,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.",432.8335,/eWHvROuznSzcxBAAkzX1X0Rmzoe.jpg,2025-01-13,Man with No Past,False,6.982,28,1315986,https://image.tmdb.org/t/p/w500/eWHvROuznSzcxBAAkzX1X0Rmzoe.jpg
5,5,False,/eU7IfdWq8KQy0oNd4kKXS0QUR08.jpg,"[878, 12, 28]",1061474,en,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",354.5509,/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,2025-07-09,Superman,False,7.453,1103,1061474,https://image.tmdb.org/t/p/w500/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg
6,6,False,/7Q2CmqIVJuDAESPPp76rWIiA0AD.jpg,"[28, 12, 18]",1011477,en,Karate Kid: Legends,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",339.016,/AEgggzRr1vZCLY86MAp93li43z.jpg,2025-05-08,Karate Kid: Legends,False,7.25,523,1011477,https://image.tmdb.org/t/p/w500/AEgggzRr1vZCLY86MAp93li43z.jpg
7,7,False,/962KXsr09uK8wrmUg9TjzmE7c4e.jpg,"[28, 53, 18]",1119878,en,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",317.834,/cQN9rZj06rXMVkk76UF1DfBAico.jpg,2025-06-27,Ice Road: Vengeance,False,7.004,138,1119878,https://image.tmdb.org/t/p/w500/cQN9rZj06rXMVkk76UF1DfBAico.jpg
8,8,False,/oPgXVSdGR9dGwbmvIToOCMmsdc2.jpg,"[28, 53, 80]",541671,en,Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",268.5687,/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg,2025-06-04,Ballerina,False,7.499,1121,541671,https://image.tmdb.org/t/p/w500/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg
9,9,False,/h6gChZHFpmbwqwV3uQsoakp77p1.jpg,"[28, 35]",1124619,en,Bride Hard,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.",289.0716,/3mExdWLSxAiUCb4NMcYmxSkO7n4.jpg,2025-06-19,Bride Hard,False,5.68,25,1124619,https://image.tmdb.org/t/p/w500/3mExdWLSxAiUCb4NMcYmxSkO7n4.jpg
